book_id,title,author,genre,rating,description,image_url
1,Harry Potter,J.K. Rowling,Fantasy,4.8,Magic school adventure,https://covers.openlibrary.org/b/id/7984916-L.jpg
2,The Hobbit,J.R.R. Tolkien,Fantasy,4.7,Adventure in middle earth,https://covers.openlibrary.org/b/id/6979861-L.jpg
3,Atomic Habits,James Clear,Self-help,4.6,Build good habits and break bad ones,https://covers.openlibrary.org/b/id/9259256-L.jpg
4,Rich Dad Poor Dad,Robert Kiyosaki,Finance,4.5,Personal finance and investing lessons,https://covers.openlibrary.org/b/id/240726-L.jpg
5,The Alchemist,Paulo Coelho,Fiction,4.4,Journey of self discovery,https://covers.openlibrary.org/b/id/8277896-L.jpg
6,Think and Grow Rich,Napoleon Hill,Finance,4.3,Success mindset and wealth principles,https://covers.openlibrary.org/b/id/8231856-L.jpg
7,Ikigai,Hector Garcia,Self-help,4.2,Japanese concept of life purpose,https://covers.openlibrary.org/b/id/9251996-L.jpg
8,The Silent Patient,Alex Michaelides,Thriller,4.5,Psychological thriller story,https://covers.openlibrary.org/b/id/9259256-L.jpg
9,The Power of Habit,Charles Duhigg,Self-help,4.6,Science of habit formation,https://covers.openlibrary.org/b/id/8231856-L.jpg
10,Deep Work,Cal Newport,Self-help,4.7,Focus and productivity improvement,https://covers.openlibrary.org/b/id/8277896-L.jpg
11,The 5 AM Club,Robin Sharma,Self-help,4.4,Morning routine for success,https://covers.openlibrary.org/b/id/9251996-L.jpg
12,Sapiens,Yuval Noah Harari,History,4.7,History of human evolution,https://covers.openlibrary.org/b/id/240726-L.jpg
13,Zero to One,Peter Thiel,Business,4.5,Startup and innovation guide,https://covers.openlibrary.org/b/id/7984916-L.jpg
14,Think Like a Monk,Jay Shetty,Self-help,4.6,Mindfulness and mental clarity,https://covers.openlibrary.org/b/id/9259256-L.jpg
15,The Psychology of Money,Morgan Housel,Finance,4.6,Behavior of money and investing,https://covers.openlibrary.org/b/id/8231856-L.jpg
16,Start With Why,Simon Sinek,Business,4.5,Leadership and purpose driven work,https://covers.openlibrary.org/b/id/8277896-L.jpg
17,Can't Hurt Me,David Goggins,Self-help,4.7,Mental toughness and discipline,https://covers.openlibrary.org/b/id/9251996-L.jpg
18,The Subtle Art of Not Giving a F*ck,Mark Manson,Self-help,4.5,Practical life advice,https://covers.openlibrary.org/b/id/9259256-L.jpg
19,Make Your Bed,William McRaven,Self-help,4.4,Small habits for big success,https://covers.openlibrary.org/b/id/8231856-L.jpg
20,The Monk Who Sold His Ferrari,Robin Sharma,Self-help,4.3,Spiritual success story,https://covers.openlibrary.org/b/id/8277896-L.jpg
21,Dune,Frank Herbert,Sci-Fi,4.8,Epic desert planet saga with politics and ecology,https://covers.openlibrary.org/b/id/861609-M.jpg
22,Foundation,Isaac Asimov,Sci-Fi,4.7,Galactic empire collapse and psychohistory,https://covers.openlibrary.org/b/id/823996-L.jpg
23,Neuromancer,William Gibson,Sci-Fi,4.6,Cyberpunk hacking in dystopian future,https://covers.openlibrary.org/b/id/1030540-L.jpg
24,The Martian,Andy Weir,Sci-Fi,4.9,Survival on Mars with science and humor,https://covers.openlibrary.org/b/id/9443410-L.jpg
25,Ready Player One,Ernest Cline,Sci-Fi,4.5,Virtual reality treasure hunt adventure,https://covers.openlibrary.org/b/id/13196779-L.jpg
26,1984,George Orwell,Sci-Fi,4.8,Dystopian surveillance society classic,https://covers.openlibrary.org/b/id/6556185-L.jpg
27,Brave New World,Aldous Huxley,Sci-Fi,4.6,Engineered society and loss of humanity,https://covers.openlibrary.org/b/id/6462002-L.jpg
28,Hyperion,Dan Simmons,Sci-Fi,4.7,Pilgrimage tales in far future universe,https://covers.openlibrary.org/b/id/6800586-L.jpg
29,Project Hail Mary,Andy Weir,Sci-Fi,4.9,Lone astronaut saves Earth from disaster,https://covers.openlibrary.org/b/id/13449699-L.jpg
30,Children of Time,Adrian Tchaikovsky,Sci-Fi,4.7,Evolution of spiders and human survivors,https://covers.openlibrary.org/b/id/12436248-L.jpg
31,Pride and Prejudice,Jane Austen,Romance,4.7,Classic love story with wit and social satire,https://covers.openlibrary.org/b/id/6896731-L.jpg
32,Jane Eyre,Charlotte Bronte,Romance,4.6,Gothic romance and personal growth journey,https://covers.openlibrary.org/b/id/433339-M.jpg
33,The Notebook,Nicholas Sparks,Romance,4.4,Timeless love spanning decades,https://covers.openlibrary.org/b/id/6485029-L.jpg
34,Me Before You,Jojo Moyes,Romance,4.5,Life-changing love with emotional depth,https://covers.openlibrary.org/b/id/7701600-L.jpg
35,Outlander,Diana Gabaldon,Romance,4.6,Time travel romance in Scottish highlands,https://covers.openlibrary.org/b/id/6521659-L.jpg
36,The Duke and I,Julia Quinn,Romance,4.4,Regency era fake courtship turns real,https://covers.openlibrary.org/b/id/8664213-L.jpg
37,Bridgerton,Julia Quinn,Romance,4.5,Society scandals and passionate romance,https://covers.openlibrary.org/b/id/42836788-L.jpg
38,It Ends With Us,Colleen Hoover,Romance,4.6,Complex love amid abuse and healing,https://covers.openlibrary.org/b/id/10045825-L.jpg
39,The Love Hypothesis,Ali Hazelwood,Romance,4.5,Fake dating trope in academic setting,https://covers.openlibrary.org/b/id/13782789-L.jpg
40,Eleanor & Park,Rainbow Rowell,Romance,4.7,1980s teen romance sweet and heartfelt,https://covers.openlibrary.org/b/id/7996188-L.jpg
41,The Da Vinci Code,Dan Brown,Mystery,4.6,Art heist uncovering religious secrets,https://covers.openlibrary.org/b/id/6944900-L.jpg
42,Gone Girl,Gillian Flynn,Thriller,4.5,Twisted marriage disappearance mystery,https://covers.openlibrary.org/b/id/8644111-L.jpg
43,The Girl on the Train,Paula Hawkins,Thriller,4.4,Unreliable narrator witnesses crime,https://covers.openlibrary.org/b/id/9894504-L.jpg
44,And Then There Were None,Agatha Christie,Mystery,4.8,Isolated island mass murder classic,https://covers.openlibrary.org/b/id/1055638-L.jpg
45,The Murder of Roger Ackroyd,Agatha Christie,Mystery,4.7,Unreliable narrator shocks readers,https://covers.openlibrary.org/b/id/1722161-L.jpg
46,Sharp Objects,Gillian Flynn,Thriller,4.5,Journalist returns to hometown horrors,https://covers.openlibrary.org/b/id/8644111-L.jpg
47,Big Little Lies,Liane Moriarty,Thriller,4.6,Parent community secrets unravel,https://covers.openlibrary.org/b/id/9410131-L.jpg
